datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,lightning_nodes,lightning_capacity_usd,fear_greed_category_Extreme Fear,fear_greed_category_Extreme Greed,fear_greed_category_Fear,fear_greed_category_Greed,fear_greed_category_Neutral
2019-08-18 00:00:00,10312.22,17883821,184421897056.38495,99592215968.65282,0.4599761874361178,1989863.935602288,559206.0,14.0,4796.0,8686555.978,1,0,0,0,0
2019-08-19 00:00:00,10921.27,17885858,195336290351.4504,99694072058.06642,0.4896285176774057,7085330.806257736,727138.0,30.0,4796.0,8958551.615,0,0,1,0,0
2019-08-20 00:00:00,10733.74,17887771,192002683576.26172,99840813659.52104,0.4800030301666843,6601716.732248792,776189.0,39.0,4796.0,9007653.018,0,0,1,0,0
2019-08-21 00:00:00,10179.99,17889471,182114636343.10828,99817220053.77864,0.4518989683743999,5861881.783117899,791958.0,11.0,4796.0,8517872.073,1,0,0,0,0
2019-08-22 00:00:00,10101.93,17891233,180735988884.96277,99817578341.06648,0.4477160915383615,3615866.5833154814,848259.0,5.0,4819.0,8499567.057,1,0,0,0,0
2019-08-23 00:00:00,10397.11,17893146,186037007675.6427,100248357676.52988,0.4611375503775364,17133204.4961806,815080.0,33.0,4819.0,8593948.291,0,0,1,0,0
2019-08-24 00:00:00,10157.82,17895146,181775672398.5413,100271285479.48328,0.4483789598663151,2877717.0862817904,726337.0,39.0,4819.0,8514651.849,0,0,1,0,0
2019-08-25 00:00:00,10128.11,17897083,181263630822.6701,100307942257.16998,0.4466184871067652,4744377.939420869,546990.0,33.0,4819.0,8391283.926,0,0,1,0,0
2019-08-26 00:00:00,10338.72,17898796,185050640646.07675,100403697142.91805,0.4574258333158238,5639941.243559204,771525.0,41.0,4819.0,8583596.633,0,0,1,0,0
2019-08-27 00:00:00,10217.53,17900483,182898727635.2616,100479294235.39584,0.4506287958668983,11695214.006584082,753395.0,30.0,4819.0,8477959.569,0,0,1,0,0
2019-08-28 00:00:00,9745.63,17902371,174469884327.01407,100467874843.67068,0.4241534851059981,5147955.66037756,738073.0,32.0,4819.0,8479233.48,0,0,1,0,0
2019-08-29 00:00:00,9505.68,17904433,170193815859.77298,100396509351.67982,0.4101048334541187,4777054.96535086,761717.0,20.0,4836.0,7929870.133,1,0,0,0,0
2019-08-30 00:00:00,9590.36,17906433,171729144012.36124,100406344812.0928,0.415321462239016,3396302.3990338733,756677.0,24.0,4836.0,8007542.227,1,0,0,0,0
2019-08-31 00:00:00,9603.24,17908508,171979705599.42047,100411275449.20992,0.4161446253252088,2073373.4730263816,636292.0,20.0,4836.0,8042723.258,1,0,0,0,0
2019-09-01 00:00:00,9708.46,17910296,173881392740.77246,100470824155.84874,0.4221876040202092,3355141.122040296,591637.0,24.0,4836.0,8039306.811,1,0,0,0,0
2019-09-02 00:00:00,10335.94,17912158,185138995991.32172,100615656242.21538,0.4565399055802827,5371466.105554098,750534.0,28.0,4836.0,8173364.449,0,0,1,0,0
2019-09-03 00:00:00,10598.83,17914208,189869650952.7095,100775913802.20204,0.4692363245176971,6700283.431393753,825786.0,41.0,4836.0,8667334.854,0,0,1,0,0
2019-09-04 00:00:00,10539.11,17915908,188817730905.40375,100870750605.69849,0.4657771273809347,7585784.764889493,770403.0,43.0,4836.0,8798199.676,0,0,1,0,0
2019-09-05 00:00:00,10576.05,17917971,189501357670.18,100977848804.64386,0.4671391801825926,9214768.738887634,762227.0,41.0,4809.0,8793733.762,0,0,1,0,0
2019-09-06 00:00:00,10315.02,17919946,184844601852.8109,101791311207.6407,0.4493141255556078,89962768.02973711,816899.0,43.0,4809.0,8857879.712,0,0,1,0,0
2019-09-07 00:00:00,10466.55,17921821,187579636058.25555,101869391456.1921,0.456927235829826,2971076.7113397573,643202.0,39.0,4809.0,8639847.964,0,0,1,0,0
2019-09-08 00:00:00,10392.19,17924033,186269962165.72644,101927999322.53496,0.4527942233012937,3063268.713114682,593894.0,43.0,4809.0,8707908.502,0,0,1,0,0
2019-09-09 00:00:00,10312.41,17925858,184858802917.7585,101964334451.71114,0.4484204547344502,7582023.467599683,790664.0,41.0,4809.0,8624030.483,0,0,1,0,0
2019-09-10 00:00:00,10095.85,17928133,180999747050.0093,101971103101.0466,0.4366229524460467,3821638.6357714105,832883.0,41.0,4809.0,8569659.05,0,0,1,0,0
2019-09-11 00:00:00,10157.59,17930433,182129992472.0759,102289711748.69405,0.4383697579937194,18535782.83101801,821400.0,38.0,4809.0,8337783.57,0,0,1,0,0
2019-09-12 00:00:00,10416.93,17932408,186800644544.37903,102375283800.89664,0.4519543331844613,6493979.349905876,775111.0,39.0,4844.0,8382409.377,0,0,1,0,0
2019-09-13 00:00:00,10360.08,17934283,185800612268.59732,102446204175.99751,0.4486228924375174,4489063.079060597,783394.0,38.0,4844.0,8466702.974,0,0,1,0,0
2019-09-14 00:00:00,10347.6,17936221,185596840884.9561,102493979271.6838,0.4477601085073661,3205290.017050161,682788.0,39.0,4844.0,8468833.117,0,0,1,0,0
2019-09-15 00:00:00,10309.61,17938058,184934387755.8326,102531009873.69868,0.4455816945787846,4650483.35833415,587576.0,38.0,4844.0,8488178.516,0,0,1,0,0
